,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
0,西营房,顶层(共17层)|2006年建|1室0厅|36.31平米|北,500万,"137,704元/平",https://bj.ke.com/ershoufang/101116855151.html,andingmen,2177,1405,4.0,2461,1588,4.0,655,7773,24,1009,10466,33
1,安外大街3号院,中楼层(共6层)|1988年建|1室1厅|33.77平米|东,465万,"137,697元/平",https://bj.ke.com/ershoufang/101114664397.html,andingmen,2043,1207,2.0,3135,2409,4.0,486,6305,21,924,9655,30
2,安华里社区,中楼层(共6层)|1983年建|2室1厅|54.26平米|东西,450万,"82,935元/平",https://bj.ke.com/ershoufang/101117360832.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
3,安贞西里,中楼层(共6层)|1985年建|1室1厅|42.15平米|南北,418万,"99,170元/平",https://bj.ke.com/ershoufang/101117237857.html,anzhen1,1523,515,2.0,3123,790,3.0,641,6502,21,950,11355,32
4,安贞里,顶层(共6层)|1986年建|2室1厅|54.03平米|南北,429万,"79,401元/平",https://bj.ke.com/ershoufang/101117154631.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
5,安华里社区,低楼层(共6层)|1989年建|2室1厅|56.78平米|南北,478万,"84,185元/平",https://bj.ke.com/ershoufang/101116981277.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
6,安华里社区,顶层(共6层)|1989年建|2室1厅|56.78平米|南北,421万,"74,146元/平",https://bj.ke.com/ershoufang/101116745078.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
7,安贞西里,低楼层(共6层)|1984年建|1室1厅|42.07平米|东西,368万,"87,474元/平",https://bj.ke.com/ershoufang/101117338890.html,anzhen1,1523,515,2.0,3123,790,3.0,641,6502,21,950,11355,32
8,安贞里,中楼层(共6层)|1984年建|2室1厅|54.52平米|南北,475万,"87,124元/平",https://bj.ke.com/ershoufang/101117117196.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
9,安贞西里,顶层(共6层)|1986年建|2室1厅|60.81平米|南北,455万,"74,824元/平",https://bj.ke.com/ershoufang/101117038971.html,anzhen1,1523,515,2.0,3123,790,3.0,641,6502,21,950,11355,32
10,安贞里,中楼层(共17层)|1989年建|1室1厅|58.56平米|南,460万,"78,552元/平",https://bj.ke.com/ershoufang/101116824716.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
11,安华里社区,高楼层(共18层)|1989年建|2室1厅|57.82平米|西北,499万,"86,303元/平",https://bj.ke.com/ershoufang/101116798993.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
12,安华里社区,顶层(共6层)2室1厅|54.2平米|南北,435万,"80,259元/平",https://bj.ke.com/ershoufang/101116572139.html,anzhen1,1499,578,2.0,3364,1071,3.0,492,5339,18,1029,12892,30
13,安贞里,顶层(共6层)|1985年建|2室1厅|54.21平米|南北,435万,"80,244元/平",https://bj.ke.com/ershoufang/101116471742.html,anzhen1,1918,976,2.0,2947,1598,4.0,762,8085,22,964,11113,31
