,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
0,沿海赛洛城七期,低楼层(共18层)1室1厅|63.09平米|东西,385万,"61,024元/平",https://bj.ke.com/ershoufang/101117008375.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
1,沿海赛洛城五期,中楼层(共25层)1室1厅|69.61平米|东西,399万,"57,320元/平",https://bj.ke.com/ershoufang/101116053581.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
2,沿海赛洛城一期,低楼层(共18层)|2007年建|1室1厅|70.62平米|南,468万,"66,271元/平",https://bj.ke.com/ershoufang/101117225212.html,baiziwan,4021,1707,5.0,2334,1964,3.0,1797,21227,62,1162,6582,19
3,沿海赛洛城五期,中楼层(共8层)1室1厅|57.36平米|东,358万,"62,413元/平",https://bj.ke.com/ershoufang/101117168943.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
4,美利山,低楼层(共24层)2室1厅|82.99平米|西,449万,"54,103元/平",https://bj.ke.com/ershoufang/101117135175.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
5,美利山,低楼层(共24层)|2011年建|1室1厅|69.38平米|东,425万,"61,257元/平",https://bj.ke.com/ershoufang/101117104164.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
6,百子湾家园一区,高楼层(共24层)|2006年建|1室1厅|62.28平米|北,346万,"55,556元/平",https://bj.ke.com/ershoufang/101117031360.html,baiziwan,4278,2332,5.0,2486,2348,3.0,1528,20901,60,881,5930,19
7,沿海赛洛城六期,中楼层(共24层)|2009年建|1室1厅|65.3平米|西,449万,"68,760元/平",https://bj.ke.com/ershoufang/101117009824.html,baiziwan,4478,2241,5.0,2792,2498,3.0,1568,20716,60,935,5745,19
8,沿海赛洛城五期,中楼层(共25层)|2008年建|1室1厅|57.27平米|东,355万,"61,988元/平",https://bj.ke.com/ershoufang/101117002414.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
9,水磨厂宿舍,顶层(共2层)2室1厅|58.41平米|南西北,275万,"47,081元/平",https://bj.ke.com/ershoufang/101116925582.html,baiziwan,3928,2111,5.0,2137,2127,3.0,1282,19316,55,595,4345,15
10,观音惠园,中楼层(共6层)|2007年建|2室1厅|90.18平米|东南北,420万,"46,574元/平",https://bj.ke.com/ershoufang/101116893459.html,baiziwan,4404,1404,7.0,3275,1467,2.0,1987,23245,69,1391,8600,25
11,美利山,中楼层(共24层)|2011年建|1室1厅|83.73平米|西,458万,"54,700元/平",https://bj.ke.com/ershoufang/101116817805.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
12,沿海赛洛城七期,低楼层(共10层)|2009年建|1室1厅|53.84平米|西,362万,"67,237元/平",https://bj.ke.com/ershoufang/101115792438.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
13,沿海赛洛城一期,低楼层(共24层)|2007年建|1室0厅|52.5平米|西,337万,"64,191元/平",https://bj.ke.com/ershoufang/101115654515.html,baiziwan,4021,1707,5.0,2334,1964,3.0,1797,21227,62,1162,6582,19
14,美利山,高楼层(共24层)|2011年建|1室1厅|81.94平米|东,473万,"57,726元/平",https://bj.ke.com/ershoufang/101115479288.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
15,沿海赛洛城五期,中楼层(共25层)1室1厅|53.66平米|东,380万,"70,817元/平",https://bj.ke.com/ershoufang/101114903283.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
16,观音景园二期,顶层(共6层)|2005年建|2室1厅|96.33平米|南北,401万,"41,628元/平",https://bj.ke.com/ershoufang/101114798718.html,baiziwan,4733,1788,7.0,3691,1644,2.0,1991,24129,72,1066,12630,27
17,美利山,低楼层(共24层)|2011年建|1室2厅|83平米|东,476万,"57,350元/平",https://bj.ke.com/ershoufang/101114760810.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
18,观音惠园,高楼层(共6层)|2008年建|2室1厅|90.96平米|南北,400万,"43,976元/平",https://bj.ke.com/ershoufang/101114671572.html,baiziwan,4404,1404,7.0,3275,1467,2.0,1987,23245,69,1391,8600,25
19,北京建筑木材总厂宿舍,底层(共6层)|1980年建|1室1厅|35.16平米|南,190万,"54,039元/平",https://bj.ke.com/ershoufang/101114042640.html,baiziwan,4610,1721,5.0,4716,2040,6.0,1417,21797,64,2190,23501,68
20,沿海赛洛城五期,高楼层(共25层)|2008年建|1室1厅|53.64平米|东,347万,"64,691元/平",https://bj.ke.com/ershoufang/101113978329.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
21,沿海赛洛城五期,高楼层(共25层)1室1厅|53.64平米|东南,368万,"68,606元/平",https://bj.ke.com/ershoufang/101117477367.html,baiziwan,4529,2300,5.0,2842,2557,3.0,1589,20717,60,903,5746,19
22,沿海赛洛城七期,中楼层(共24层)|2009年建|1室1厅|51.5平米|西,379万,"73,593元/平",https://bj.ke.com/ershoufang/101117421170.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
23,沿海赛洛城七期,中楼层(共10层)1室1厅|56.12平米|西,399万,"71,098元/平",https://bj.ke.com/ershoufang/101117404789.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
24,美利山,低楼层(共24层)1室1厅|69.05平米|东,449万,"65,026元/平",https://bj.ke.com/ershoufang/101117397259.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
25,沿海赛洛城七期,中楼层(共24层)|2009年建|1室1厅|51.26平米|西,368万,"71,791元/平",https://bj.ke.com/ershoufang/101117393557.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
26,北京第二制药厂宿舍,顶层(共6层)|1980年建|3室0厅|62.81平米|西南北,296万,"47,127元/平",https://bj.ke.com/ershoufang/101117383366.html,baiziwan,4256,1981,5.0,2569,2238,3.0,1440,20134,58,773,5163,17
27,石门村路2号院,中楼层(共5层)2室1厅|81.34平米|东,369万,"45,366元/平",https://bj.ke.com/ershoufang/101117293872.html,baiziwan,3989,1670,5.0,2302,1927,3.0,1715,21145,61,805,5360,18
28,沿海赛洛城六期,中楼层(共24层)1室1厅|60.12平米|东西,400万,"66,534元/平",https://bj.ke.com/ershoufang/101117263964.html,baiziwan,4478,2241,5.0,2792,2498,3.0,1568,20716,60,935,5745,19
29,观音惠园,顶层(共6层)2室1厅|90.16平米|南北,385万,"42,702元/平",https://bj.ke.com/ershoufang/101117196578.html,baiziwan,4404,1404,7.0,3275,1467,2.0,1987,23245,69,1391,8600,25
30,美利山,低楼层(共24层)1室1厅|69.05平米|东,449万,"65,026元/平",https://bj.ke.com/ershoufang/101117397259.html,baiziwan,4289,2020,5.0,2602,2277,3.0,1581,20618,59,874,5647,18
31,沿海赛洛城七期,中楼层(共24层)|2009年建|1室1厅|51.26平米|西,368万,"71,791元/平",https://bj.ke.com/ershoufang/101117393557.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
32,北京第二制药厂宿舍,顶层(共6层)|1980年建|3室0厅|62.81平米|西南北,296万,"47,127元/平",https://bj.ke.com/ershoufang/101117383366.html,baiziwan,4256,1981,5.0,2569,2238,3.0,1440,20134,58,773,5163,17
33,沿海赛洛城七期,中楼层(共24层)|2009年建|1室1厅|51.5平米|西,375万,"72,816元/平",https://bj.ke.com/ershoufang/101117367180.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
34,沿海赛洛城七期,低楼层(共24层)|2009年建|1室1厅|60.47平米|东,396万,"65,488元/平",https://bj.ke.com/ershoufang/101117366653.html,baiziwan,4355,2097,5.0,2668,2354,3.0,1548,20532,59,914,5561,18
