,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
0,恋日国际,中楼层(共25层)|2003年建|1室1厅|75.58平米|西北,478万,"63,245元/平",https://bj.ke.com/ershoufang/101117396002.html,cbd,3006,1378,5.0,1192,752,2.0,1266,16676,46,520,2031,13
1,南郎家园,顶层(共5层)|1979年建|3室1厅|54.97平米|南北,399万,"72,586元/平",https://bj.ke.com/ershoufang/101117100147.html,cbd,3212,1619,5.0,1295,738,2.0,1166,16327,45,434,1682,13
2,南郎家园,顶层(共6层)2室1厅|53.66平米|南北,350万,"65,226元/平",https://bj.ke.com/ershoufang/101117001217.html,cbd,3212,1619,5.0,1295,738,2.0,1166,16327,45,434,1682,13
3,光华里社区,低楼层(共12层)|1990年建|2室0厅|52.65平米|南,435万,"82,622元/平",https://bj.ke.com/ershoufang/101116880835.html,cbd,3013,1498,5.0,?,?,?,1175,16053,42,407,755,13
4,建国路100号,高楼层(共14层)|1989年建|1室1厅|48.22平米|南北,345万,"71,548元/平",https://bj.ke.com/ershoufang/101116610853.html,cbd,2974,1446,5.0,1202,629,2.0,1017,16224,51,399,1579,13
5,万达广场公寓,低楼层(共27层)1室1厅|61.9平米|西北,478万,"77,222元/平",https://bj.ke.com/ershoufang/101117262678.html,cbd,2944,1149,5.0,1370,700,2.0,1180,16305,45,432,1718,13
6,南郎家园,底层(共5层)|1981年建|2室1厅|47.17平米|南,385万,"81,620元/平",https://bj.ke.com/ershoufang/101117090687.html,cbd,3212,1619,5.0,1295,738,2.0,1166,16327,45,434,1682,13
7,光辉里小区,高楼层(共6层)|1993年建|2室1厅|56.77平米|南北,450万,"79,268元/平",https://bj.ke.com/ershoufang/101116876653.html,cbd,2806,987,5.0,1014,1003,3.0,1256,17038,47,526,2451,13
8,光辉里小区,中楼层(共14层)|1982年建|2室1厅|55.39平米|南,445万,"80,340元/平",https://bj.ke.com/ershoufang/101116646644.html,cbd,2806,987,5.0,1014,1003,3.0,1256,17038,47,526,2451,13
9,光辉里小区,低楼层(共16层)|1989年建|3室1厅|68.88平米|西北,498万,"72,300元/平",https://bj.ke.com/ershoufang/101116568573.html,cbd,2806,987,5.0,1014,1003,3.0,1256,17038,47,526,2451,13
