,position,description,total_price,unit_price,url,region,transit_duration_大钟寺地铁站,transit_distance_大钟寺地铁站,transit_fee_大钟寺地铁站,transit_duration_国贸大厦A座,transit_distance_国贸大厦A座,transit_fee_国贸大厦A座,driving_duration_大钟寺地铁站,driving_distance_大钟寺地铁站,driving_fee_大钟寺地铁站,driving_duration_国贸大厦A座,driving_distance_国贸大厦A座,driving_fee_国贸大厦A座
0,gogo新世代,高楼层(共30层)|2005年建|1室1厅|46.39平米|西,288万,"62,083元/平",https://bj.ke.com/ershoufang/101117409273.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
1,芳星园三区,低楼层(共16层)|1990年建|2室1厅|62.72平米|南,412万,"65,689元/平",https://bj.ke.com/ershoufang/101117391450.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
2,芳群园一区,中楼层(共25层)|1990年建|2室1厅|62.95平米|南,415万,"65,926元/平",https://bj.ke.com/ershoufang/101117359062.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
3,芳群园一区,中楼层(共25层)|1990年建|2室1厅|57.32平米|东南,392万,"68,388元/平",https://bj.ke.com/ershoufang/101116863597.html,fangzhuang1,3346,1280,5.0,2471,1738,4.0,1383,19757,57,1049,9410,26
4,gogo新世代,中楼层(共30层)|2005年建|1室1厅|37.98平米|西,240万,"63,192元/平",https://bj.ke.com/ershoufang/101116526199.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
5,芳星园三区,中楼层(共16层)|1993年建|2室1厅|54.53平米|南北,384万,"70,420元/平",https://bj.ke.com/ershoufang/101117292147.html,fangzhuang1,3864,1717,5.0,2576,1296,2.0,1663,23847,60,1080,9207,26
6,gogo新世代,高楼层(共32层)|2005年建|1室1厅|46.39平米|南,315万,"67,903元/平",https://bj.ke.com/ershoufang/101117219574.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
7,芳古园一区,中楼层(共25层)|1992年建|2室1厅|52.99平米|东南,406万,"76,619元/平",https://bj.ke.com/ershoufang/101117218967.html,fangzhuang1,3273,1322,5.0,2301,1539,4.0,1443,19673,56,1106,10546,29
8,gogo新世代,低楼层(共30层)|2005年建|1室1厅|46.95平米|东,290万,"61,768元/平",https://bj.ke.com/ershoufang/101117215668.html,fangzhuang1,3058,944,5.0,2183,1402,4.0,1396,19814,57,1052,8993,26
9,芳星园二区,低楼层(共25层)2室1厅|68.89平米|东南北,460万,"66,774元/平",https://bj.ke.com/ershoufang/101117118030.html,fangzhuang1,3515,1310,5.0,2447,1629,4.0,1501,20864,58,907,8000,23
